(23s) phi_loss: -1960.291,  theta_loss: 923.016,  ess: 1.057
(23s) phi_loss: -1955.983,  theta_loss: 920.794,  ess: 1.054
(23s) phi_loss: -1956.730,  theta_loss: 919.358,  ess: 1.058
(22s) phi_loss: -1960.223,  theta_loss: 922.884,  ess: 1.056
(22s) phi_loss: -1956.591,  theta_loss: 915.908,  ess: 1.054
(22s) phi_loss: -1955.112,  theta_loss: 920.599,  ess: 1.058
(22s) phi_loss: -1955.679,  theta_loss: 921.897,  ess: 1.059
(22s) phi_loss: -1956.224,  theta_loss: 926.726,  ess: 1.059
(20s) phi_loss: -1958.352,  theta_loss: 925.918,  ess: 1.056
(21s) phi_loss: -1960.067,  theta_loss: 923.702,  ess: 1.057
(22s) phi_loss: -1958.591,  theta_loss: 922.564,  ess: 1.057
(21s) phi_loss: -1955.569,  theta_loss: 919.675,  ess: 1.056
(22s) phi_loss: -1958.383,  theta_loss: 919.596,  ess: 1.057
(21s) phi_loss: -1957.529,  theta_loss: 912.525,  ess: 1.058
