EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-209.833	-304.346	1.788	102.781	15.660
-209.569	-303.168	1.816	101.675	15.151
-209.917	-303.024	1.818	101.092	15.296
-210.230	-304.312	1.817	103.466	15.709
-209.853	-301.875	1.806	100.316	16.018
-209.663	-301.842	1.806	101.540	15.218
-209.663	-304.884	1.818	104.016	15.334
-209.542	-302.899	1.799	101.791	15.173
-210.439	-305.048	1.804	103.316	15.925
-210.354	-305.494	1.814	103.279	15.802
-209.979	-302.725	1.833	103.634	15.036
-209.782	-305.371	1.793	103.842	15.025
-209.737	-305.718	1.818	104.613	15.351
-210.190	-303.419	1.801	101.568	15.534
-209.474	-300.672	1.816	99.553	15.333
-211.503	-302.379	1.815	101.346	17.028
-209.234	-300.308	1.818	99.602	15.262
-210.013	-302.694	1.829	100.825	14.973
-209.940	-300.689	1.819	99.896	15.445
-209.907	-299.746	1.815	99.333	15.587
-210.581	-302.428	1.832	100.003	16.368
-209.270	-300.603	1.815	99.762	14.738
-209.520	-300.303	1.801	99.807	14.963
-209.664	-302.158	1.815	101.421	15.068
-209.339	-301.162	1.813	101.599	15.626
-209.278	-302.187	1.811	101.165	15.101
-209.665	-302.122	1.801	101.202	15.515
-209.276	-303.546	1.827	101.831	15.115
-209.750	-304.020	1.824	102.364	15.201
-209.487	-300.285	1.826	100.044	14.970
-209.236	-300.151	1.819	99.241	15.613
-209.447	-302.133	1.815	100.041	15.602
-210.107	-302.292	1.831	102.296	15.793
-209.894	-303.620	1.831	102.425	15.216
-209.932	-302.834	1.832	101.571	15.546
-210.642	-303.115	1.812	100.889	16.185
-209.705	-300.697	1.816	100.471	15.834
-209.811	-300.797	1.824	99.518	15.842
-209.653	-299.864	1.833	99.557	14.980
-210.130	-299.914	1.836	98.883	16.035
-209.429	-301.288	1.825	100.457	15.628
-209.631	-302.687	1.848	101.041	15.554
-209.568	-301.393	1.809	100.070	15.492
-209.894	-303.685	1.811	102.901	15.663
-209.681	-304.328	1.828	102.654	15.103
-209.131	-300.571	1.833	100.060	14.915
-210.020	-302.759	1.818	102.302	15.664
-208.858	-301.143	1.808	101.515	14.630
-209.628	-303.343	1.824	102.039	15.168
-209.610	-302.713	1.818	102.352	15.664
-209.540	-306.135	1.804	104.135	15.090
-209.811	-304.523	1.819	103.871	15.505
-210.214	-303.218	1.825	103.211	15.752
-209.540	-303.342	1.822	102.655	15.007
-209.989	-301.292	1.838	101.079	15.635
-209.614	-300.149	1.836	100.554	15.559
-208.922	-301.452	1.834	100.947	15.081
-209.129	-302.056	1.820	101.567	15.109
-209.816	-301.115	1.827	100.138	15.738
-209.292	-301.819	1.829	100.289	14.980
-209.478	-302.561	1.825	101.816	15.573
-209.981	-302.316	1.822	102.250	15.078
-209.881	-303.961	1.831	103.083	15.201
