(20s) Epoch=21, Group=1, loss_phi: -90.2312,  loss_theta: 1476.9146,  ess: 1.0650,  density: -1908.8284
(20s) Epoch=21, Group=2, loss_phi: -87.8005,  loss_theta: 1628.9598,  ess: 1.0791,  density: -2094.8360
(19s) Epoch=21, Group=3, loss_phi: -89.6079,  loss_theta: 1411.7001,  ess: 1.0653,  density: -1850.1898
(19s) Epoch=21, Group=4, loss_phi: -92.8236,  loss_theta: 1524.4099,  ess: 1.0651,  density: -1954.0314
(19s) Epoch=21, Group=5, loss_phi: -90.5492,  loss_theta: 1373.4954,  ess: 1.0695,  density: -1783.6865
(19s) Epoch=21, Group=6, loss_phi: -92.9754,  loss_theta: 1537.5803,  ess: 1.0726,  density: -1955.3280
(19s) Epoch=21, Group=7, loss_phi: -95.0173,  loss_theta: 1518.7635,  ess: 1.0712,  density: -1937.4831
(19s) Epoch=21, Group=8, loss_phi: -93.9376,  loss_theta: 1422.6120,  ess: 1.0726,  density: -1832.7223
(19s) Epoch=21, Group=9, loss_phi: -94.2232,  loss_theta: 1545.9314,  ess: 1.0702,  density: -1955.5267
(19s) Epoch=22, Group=0, loss_phi: -93.6273,  loss_theta: 1408.0082,  ess: 1.0815,  density: -1817.2807
(19s) Epoch=22, Group=1, loss_phi: -94.4606,  loss_theta: 1406.3208,  ess: 1.0659,  density: -1824.0263
(19s) Epoch=22, Group=2, loss_phi: -92.9842,  loss_theta: 1512.3492,  ess: 1.0752,  density: -1925.3686
(19s) Epoch=22, Group=3, loss_phi: -90.8930,  loss_theta: 1602.1652,  ess: 1.0681,  density: -2046.6966
(19s) Epoch=22, Group=4, loss_phi: -89.2096,  loss_theta: 1472.4645,  ess: 1.0670,  density: -1919.9778
